"År","Ident","Navn","Indikator","parameter","Variabel"
"2012","26","26 Øyane","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,61"
"2012","27","27 Kråkeneset","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,7"
"2012","28","28 Skeie","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,87"
"2012","29","29 Kvitepynten","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,23"
"2012","30","30 Prestastø","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,82"
"2012","31","31 Hundvågkrossen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,01"
"2012","32","32 Kalhag","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,65"
"2012","33","33 Hinnalia","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,73"
"2012","34","34 Storaberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,24"
"2012","35","35 Godeset","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,61"
"2012","36","36 Gausel","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,35"
"2012","37","37 Hinnakrossen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,88"
"2012","38","38 Øvre Vaulen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,91"
"2012","39","39Auglend","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,47"
"2012","40","40 Kristianslyst","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,82"
"2012","41","41 Vaulen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,75"
"2012","42","42 Mariero","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,21"
"2012","43","43 Åsen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,97"
"2012","44","44 Tjensvoll","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,65"
"2012","45","45 Solborg","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,69"
"2012","46","46 Øvre Tjensvoll","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,06"
"2012","47","47 Madlamark","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,77"
"2012","48","48 Jernaldergarden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,92"
"2012","49","49 Madlalia","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,41"
"2012","50","50 Stokka","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,39"
"2012","51","51 Tastarustå","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,27"
"2012","52","52 Molkeholen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,66"
"2012","53","53 Madlaforen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,14"
"2012","54","54 Sandal","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,46"
"2012","55","55 Madlatuå","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,64"
"2012","56","56 Smiodden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,21"
"2012","57","57 Mjug","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,04"
"2012","58","58 Ørnaberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,9"
"2012","59","59 Sundekrossen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,92"
"2012","60","60 Malthaug","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,5"
"2012","61","61 Gjeraberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,71"
"2012","62","62 Byhaugen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,47"
"2012","63","63 Vardenes","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,3"
"2012","64","64 Tastaforen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,65"
"2012","65","65 Smiene","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,73"
"2012","66"," 66  Teinå  ","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,63"
"2012","67","67 Forusstraen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,95"
"2012","68","68 Husaberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,38"
"2012","69","69 Boganes","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,2"
"2014","1","01 Buøy","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,5"
"2014","2","02 Badedammen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2"
"2014","3","03 Sentrum","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,8"
"2014","4","04 Bergeland","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,4"
"2014","5","05 Nylund","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,9"
"2014","6","06 Lervig","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,6"
"2014","7","07 Emmaus","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,7"
"2014","8","08 Varden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,4"
"2014","9","09 Kannik","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,2"
"2014","10","10 Ledaal","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1"
"2014","11","11 Kiellandmyrå","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,4"
"2014","12","12 Lagård","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,5"
"2014","13","13 Vålandshaugen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1"
"2014","14","14 Ytre Lagård","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,4"
"2014","15","15 Sentralsjukehuset","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,4"
"2014","16","16 Bekkefaret","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,5"
"2014","17","17 Saxemarka","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,7"
"2014","18","18 Ullandhaugskråningen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,2"
"2014","19","19 Kvalaberg","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,6"
"2014","20","20 Bjergsted","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,3"
"2014","21","21 Gramstadhaugen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,8"
"2014","22","22 Bakkeland","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,2"
"2014","23","23 Tastaveden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,2"
"2014","24","24 Stokkadalen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,8"
"2014","25","25 Ytre Eiganes","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,1"
"2014","26","26 Øyane","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,9"
"2014","27","27 Kråkeneset","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1"
"2014","28","28 Skeie","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,2"
"2014","29","29 Kvitepynten","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,3"
"2014","30","30 Prestastø","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1"
"2014","31","31 Hundvågkrossen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,2"
"2014","32","32 Kalhag","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,3"
"2014","33","33 Hinnalia","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1"
"2014","34","34 Storaberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,3"
"2014","35","35 Godeset","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,3"
"2014","36","36 Gausel","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,1"
"2014","37","37 Hinnakrossen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,9"
"2014","38","38 Øvre Vaulen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1"
"2014","39","39Auglend","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,1"
"2014","40","40 Kristianslyst","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,4"
"2014","41","41 Vaulen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,3"
"2014","42","42 Mariero","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,3"
"2014","43","43 Åsen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,3"
"2014","44","44 Tjensvoll","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,7"
"2014","45","45 Solborg","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,4"
"2014","46","46 Øvre Tjensvoll","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,2"
"2014","47","47 Madlamark","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,6"
"2014","48","48 Jernaldergarden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,1"
"2014","49","49 Madlalia","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,8"
"2014","50","50 Stokka","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,9"
"2014","51","51 Tastarustå","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,3"
"2014","52","52 Molkeholen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,1"
"2014","53","53 Madlaforen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,3"
"2014","54","54 Sandal","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1"
"2014","55","55 Madlatuå","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,8"
"2014","56","56 Smiodden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,1"
"2014","57","57 Mjug","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2"
"2014","58","58 Ørnaberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,7"
"2014","59","59 Sundekrossen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,2"
"2014","60","60 Malthaug","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,2"
"2014","61","61 Gjeraberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,2"
"2014","62","62 Byhaugen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,9"
"2014","63","63 Vardenes","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,7"
"2014","64","64 Tastaforen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,3"
"2014","65","65 Smiene","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,1"
"2014","66"," 66  Teinå  ","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,3"
"2014","67","67 Forusstraen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,8"
"2014","68","68 Husaberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,7"
"2014","69","69 Boganes","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,2"
"2014","70","70 Søra Bråde","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,7"
"2014","99","99 Uoppgitt","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","5,4"
"2016","1","01 Buøy","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,9"
"2016","2","02 Badedammen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","5,8"
"2016","3","03 Sentrum","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","5,6"
"2016","4","04 Bergeland","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,8"
"2016","5","05 Nylund","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,4"
"2016","6","06 Lervig","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,8"
"2016","7","07 Emmaus","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,6"
"2016","8","08 Varden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3"
"2016","9","09 Kannik","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,8"
"2016","10","10 Ledaal","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3"
"2016","11","11 Kiellandmyrå","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,8"
"2016","12","12 Lagård","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,8"
"2016","13","13 Vålandshaugen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,5"
"2016","14","14 Ytre Lagård","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,2"
"2016","15","15 Sentralsjukehuset","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3"
"2016","16","16 Bekkefaret","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,5"
"2016","17","17 Saxemarka","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,9"
"2016","18","18 Ullandhaugskråningen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,8"
"2016","19","19 Kvalaberg","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,8"
"2016","20","20 Bjergsted","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,3"
"2016","21","21 Gramstadhaugen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,4"
"2016","22","22 Bakkeland","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","5,1"
"2016","23","23 Tastaveden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,1"
"2016","24","24 Stokkadalen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,1"
"2016","25","25 Ytre Eiganes","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,4"
"2016","26","26 Øyane","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,2"
"2016","27","27 Kråkeneset","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,6"
"2016","28","28 Skeie","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","5"
"2016","29","29 Kvitepynten","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,4"
"2016","30","30 Prestastø","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,5"
"2016","31","31 Hundvågkrossen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,5"
"2016","32","32 Kalhag","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,2"
"2016","33","33 Hinnalia","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,9"
"2016","34","34 Storaberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,4"
"2016","35","35 Godeset","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,9"
"2016","36","36 Gausel","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,8"
"2016","37","37 Hinnakrossen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,5"
"2016","38","38 Øvre Vaulen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3"
"2016","39","39Auglend","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,6"
"2016","40","40 Kristianslyst","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,8"
"2016","41","41 Vaulen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,8"
"2016","42","42 Mariero","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,9"
"2016","43","43 Åsen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,1"
"2016","44","44 Tjensvoll","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,7"
"2016","45","45 Solborg","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,6"
"2016","46","46 Øvre Tjensvoll","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,5"
"2016","47","47 Madlamark","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,1"
"2016","48","48 Jernaldergarden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,6"
"2016","49","49 Madlalia","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,5"
"2016","50","50 Stokka","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,9"
"2016","51","51 Tastarustå","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,2"
"2016","52","52 Molkeholen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,9"
"2016","53","53 Madlaforen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,5"
"2016","54","54 Sandal","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2"
"2016","55","55 Madlatuå","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,6"
"2016","56","56 Smiodden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,7"
"2016","57","57 Mjug","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,9"
"2016","58","58 Ørnaberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,6"
"2016","59","59 Sundekrossen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,5"
"2016","60","60 Malthaug","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,7"
"2016","61","61 Gjeraberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,4"
"2016","62","62 Byhaugen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,7"
"2016","63","63 Vardenes","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4"
"2016","64","64 Tastaforen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,7"
"2016","65","65 Smiene","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,5"
"2016","66"," 66  Teinå  ","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,5"
"2016","67","67 Forusstraen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,9"
"2016","68","68 Husaberget","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,6"
"2016","69","69 Boganes","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","4,5"
"2016","70","70 Søra Bråde","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,6"
"2016","71","71 Jåttåvågen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","3,6"
"2016","99","99 Uoppgitt","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","10,5"
